Date,Close
10/1/2012,22.76
10/2/2012,22.84
10/3/2012,22.55
10/4/2012,22.47
10/5/2012,22.68
10/8/2012,22.51
10/9/2012,21.9
10/10/2012,21.76
10/11/2012,21.68
10/12/2012,21.48
10/15/2012,21.73
10/16/2012,22.35
10/17/2012,21.79
10/18/2012,21.67
10/19/2012,21.27
10/22/2012,21.46
10/23/2012,21.59
10/24/2012,21.46
10/25/2012,21.69
10/26/2012,21.95
10/31/2012,21.63
11/1/2012,22.26
11/2/2012,22.06
11/5/2012,21.84
11/6/2012,21.73
11/7/2012,20.91
11/8/2012,20.83
11/9/2012,20.8
11/12/2012,20.77
11/13/2012,20.28
11/14/2012,19.96
11/15/2012,20.03
11/16/2012,20.19
11/19/2012,20.25
11/20/2012,19.51
11/21/2012,19.36
11/23/2012,19.72
11/26/2012,19.89
11/27/2012,19.93
11/28/2012,20.09
11/29/2012,19.53
11/30/2012,19.57
12/3/2012,19.54
12/4/2012,19.97
12/5/2012,19.85
12/6/2012,20.16
12/7/2012,20.16
12/10/2012,20.08
12/11/2012,20.65
12/12/2012,20.67
12/13/2012,20.49
12/14/2012,20.53
12/17/2012,20.57
12/18/2012,20.96
12/19/2012,21.1
12/20/2012,21.03
12/21/2012,20.77
12/24/2012,20.64
12/26/2012,20.65
12/27/2012,20.51
12/28/2012,20.23
12/31/2012,20.62
1/2/2013,21.38
1/3/2013,21.32
1/4/2013,21.16
1/7/2013,21.25
1/8/2013,21.09
1/9/2013,21.45
1/10/2013,21.8
1/11/2013,22
1/14/2013,22
1/15/2013,21.88
1/16/2013,22.11
1/17/2013,22.68
1/18/2013,21.25
1/22/2013,21.17
1/23/2013,21.11
1/24/2013,20.95
1/25/2013,20.96
1/28/2013,21.05
1/29/2013,21.28
1/30/2013,21.37
1/31/2013,21.04
2/1/2013,21.36
2/4/2013,21.16
2/5/2013,21.18
2/6/2013,20.99
2/7/2013,20.81
2/8/2013,21
2/11/2013,21.03
2/12/2013,21.19
2/13/2013,21.25
2/14/2013,21.23
2/15/2013,21.12
2/19/2013,21.09
2/20/2013,20.73
2/21/2013,20.25
2/22/2013,20.42
2/25/2013,20.23
2/26/2013,20.58
2/27/2013,20.93
2/28/2013,20.88
3/1/2013,21.03
3/4/2013,21.27
3/5/2013,21.51
3/6/2013,21.75
3/7/2013,21.89
3/8/2013,21.58
3/11/2013,21.69
3/12/2013,21.64
3/13/2013,21.66
3/14/2013,21.65
3/15/2013,21.38
3/18/2013,21.26
3/19/2013,21.14
3/20/2013,21.18
3/21/2013,21.04
3/22/2013,21.33
3/25/2013,21.15
3/26/2013,21.77
3/27/2013,21.83
3/28/2013,21.84
4/1/2013,21.43
4/2/2013,21.46
4/3/2013,21.05
4/4/2013,21.14
4/5/2013,20.94
4/8/2013,21.09
4/9/2013,21.75
4/10/2013,22.26
4/11/2013,21.83
4/12/2013,21.68
4/15/2013,21.38
4/16/2013,21.92
4/17/2013,21.93
4/18/2013,22.24
4/19/2013,22.44
4/22/2013,22.88
4/23/2013,23.38
4/24/2013,23.66
4/25/2013,23.38
4/26/2013,23.4
4/29/2013,23.76
4/30/2013,23.95
5/1/2013,23.99
5/2/2013,24.11
5/3/2013,23.96
5/6/2013,23.91
5/7/2013,24.15
5/8/2013,24.25
5/9/2013,24.36
5/10/2013,24.5
5/13/2013,24.08
5/14/2013,23.84
5/15/2013,24.2
5/16/2013,23.94
5/17/2013,24.04
5/20/2013,24.08
5/21/2013,24.15
5/22/2013,24.07
5/23/2013,24.05
5/24/2013,23.92
5/28/2013,24.08
5/29/2013,24.27
5/30/2013,24.21
5/31/2013,24.28
6/3/2013,25.24
6/4/2013,25.36
6/5/2013,24.7
6/6/2013,24.65
6/7/2013,24.59
6/10/2013,25.01
6/11/2013,24.71
6/12/2013,24.46
6/13/2013,24.99
6/14/2013,24.92
6/17/2013,25.1
6/18/2013,25.47
6/19/2013,25
6/20/2013,24.19
6/21/2013,24.2
6/24/2013,23.58
6/25/2013,23.88
6/26/2013,24.01
6/27/2013,24.05
6/28/2013,24.23
7/1/2013,23.89
7/2/2013,23.72
7/3/2013,23.76
7/5/2013,24.06
7/8/2013,23.19
7/9/2013,23.14
7/10/2013,23.25
7/11/2013,23.99
7/12/2013,23.9
7/15/2013,23.94
7/16/2013,24.25
7/17/2013,24.15
7/18/2013,23.24
7/19/2013,23.04
7/22/2013,22.77
7/23/2013,22.75
7/24/2013,22.93
7/25/2013,23.06
7/26/2013,23.26
7/29/2013,23.24
7/30/2013,23.38
7/31/2013,23.34
8/1/2013,23.2
8/2/2013,23.22
8/5/2013,22.92
8/6/2013,22.8
8/7/2013,22.7
8/8/2013,22.45
8/9/2013,22.51
8/12/2013,22.64
8/13/2013,22.52
8/14/2013,22.57
8/15/2013,22.03
8/16/2013,21.92
8/19/2013,22.28
8/20/2013,22.52
8/21/2013,22.17
8/22/2013,22.26
8/23/2013,22.44
8/26/2013,22.28
8/27/2013,22.19
8/28/2013,22.29
8/29/2013,22.06
8/30/2013,21.98
9/3/2013,22.07
9/4/2013,22.64
9/5/2013,22.6
9/6/2013,22.67
9/9/2013,22.91
9/10/2013,22.99
9/11/2013,22.81
9/12/2013,22.63
9/13/2013,23.44
9/16/2013,23.39
9/17/2013,23.74
9/18/2013,23.9
9/19/2013,23.92
9/20/2013,23.77
9/23/2013,23.62
9/24/2013,23.71
9/25/2013,23.7
9/26/2013,23.41
9/27/2013,22.98
9/30/2013,22.92
10/1/2013,22.83
10/2/2013,22.89
10/3/2013,22.6
10/4/2013,22.81
10/7/2013,22.83
10/8/2013,22.48
10/9/2013,22.59
10/10/2013,23.1
10/11/2013,23.26
10/14/2013,23.45
10/15/2013,23.39
10/16/2013,23.7
10/17/2013,23.92
10/18/2013,23.88
10/21/2013,24.14
10/22/2013,24.07
10/23/2013,23.74
10/24/2013,23.78
10/25/2013,24.24
10/28/2013,24.36
10/29/2013,24.52
10/30/2013,24.5
10/31/2013,24.47
11/1/2013,24.33
11/4/2013,24.26
11/5/2013,24.03
11/6/2013,24.25
11/7/2013,24.06
11/8/2013,24.09
11/11/2013,24.17
11/12/2013,24.43
11/13/2013,24.6
11/14/2013,24.39
11/15/2013,24.52
11/18/2013,24.6
11/19/2013,24.7
11/20/2013,24.56
11/21/2013,25.23
11/22/2013,23.87
11/25/2013,23.75
11/26/2013,23.65
11/27/2013,23.9
11/29/2013,23.84
12/2/2013,23.7
12/3/2013,23.55
12/4/2013,23.74
12/5/2013,24.26
12/6/2013,24.82
12/9/2013,24.93
12/10/2013,24.82
12/11/2013,24.42
12/12/2013,24.47
12/13/2013,24.29
12/16/2013,24.45
12/17/2013,24.66
12/18/2013,25.15
12/19/2013,25.14
12/20/2013,25.06
12/23/2013,25.32
12/24/2013,25.43
12/26/2013,25.7
12/27/2013,25.6
12/30/2013,25.85
12/31/2013,25.96
1/2/2014,25.79
1/3/2014,25.78
1/6/2014,25.46
1/7/2014,25.59
1/8/2014,25.43
1/9/2014,25.31
1/10/2014,25.53
1/13/2014,25.5
1/14/2014,26.51
1/15/2014,26.67
1/16/2014,26.54
1/17/2014,25.85
1/21/2014,25.59
1/22/2014,25.31
1/23/2014,25.13
1/24/2014,24.81
1/27/2014,24.72
1/28/2014,24.9
1/29/2014,24.68
1/30/2014,24.74
1/31/2014,24.54
2/3/2014,23.95
2/4/2014,23.82
2/5/2014,23.52
2/6/2014,23.99
2/7/2014,24.21
2/10/2014,24.29
2/11/2014,24.47
2/12/2014,24.55
2/13/2014,24.7
2/14/2014,24.76
2/18/2014,24.76
2/19/2014,24.5
2/20/2014,24.74
2/21/2014,24.42
2/24/2014,24.63
2/25/2014,24.62
2/26/2014,24.8
2/27/2014,24.76
2/28/2014,24.76
3/3/2014,24.5
3/4/2014,24.61
3/5/2014,24.5
3/6/2014,24.63
3/7/2014,24.64
3/10/2014,24.84
3/11/2014,24.73
3/12/2014,24.76
3/13/2014,24.57
3/14/2014,24.5
3/17/2014,24.7
3/18/2014,24.82
3/19/2014,25.02
3/20/2014,25.43
3/21/2014,25.17
3/24/2014,25.12
3/25/2014,25.46
3/26/2014,25.38
3/27/2014,25.31
3/28/2014,25.62
3/31/2014,25.81
4/1/2014,25.99
4/2/2014,25.89
4/3/2014,26.41
4/4/2014,26.16
4/7/2014,26.49
4/8/2014,26.91
4/9/2014,26.98
4/10/2014,26.43
4/11/2014,26.18
4/14/2014,26.56
4/15/2014,26.77
4/16/2014,26.93
4/17/2014,27.04
4/21/2014,26.95
4/22/2014,26.84
4/23/2014,26.75
4/24/2014,26.75
4/25/2014,26.26
4/28/2014,26.33
4/29/2014,26.48
4/30/2014,26.69
5/1/2014,26.45
5/2/2014,26.41
5/5/2014,26.17
5/6/2014,26.2
5/7/2014,26.37
5/8/2014,26.34
5/9/2014,26.3
5/12/2014,26.37
5/13/2014,26.45
5/14/2014,26.33
5/15/2014,26.01
5/16/2014,25.82
5/19/2014,26.04
5/20/2014,26.04
5/21/2014,26.2
5/22/2014,26.15
5/23/2014,26.29
5/27/2014,26.71
5/28/2014,26.88
5/29/2014,26.96
5/30/2014,27.32
6/2/2014,27.26
6/3/2014,27.66
6/4/2014,27.6
6/5/2014,27.66
6/6/2014,28.17
6/9/2014,27.91
6/10/2014,28.24
6/11/2014,27.93
6/12/2014,27.96
6/13/2014,29.87
6/16/2014,30.01
6/17/2014,29.95
6/18/2014,29.93
6/19/2014,30.09
6/20/2014,30.2
6/23/2014,30.23
6/24/2014,30.5
6/25/2014,30.88
6/26/2014,30.78
6/27/2014,30.93
6/30/2014,30.9
7/1/2014,30.98
7/2/2014,30.98
7/3/2014,31.14
7/7/2014,31.03
7/8/2014,30.79
7/9/2014,30.89
7/10/2014,31.26
7/11/2014,31.25
7/14/2014,31.49
7/15/2014,31.71
7/16/2014,34.65
7/17/2014,33.7
7/18/2014,33.7
7/21/2014,34.06
7/22/2014,34.79
7/23/2014,34.5
7/24/2014,34.25
7/25/2014,34.25
7/28/2014,34.23
7/29/2014,34.19
7/30/2014,34.35
7/31/2014,33.89
8/1/2014,33.74
8/4/2014,34.05
8/5/2014,32.82
8/6/2014,32.85
8/7/2014,32.68
8/8/2014,32.6
8/11/2014,33.02
8/12/2014,33.13
8/13/2014,34.1
8/14/2014,33.94
8/15/2014,34.17
8/18/2014,34.41
8/19/2014,34.34
8/20/2014,34.5
8/21/2014,35.15
8/22/2014,34.94
8/25/2014,34.81
8/26/2014,34.8
8/27/2014,34.79
8/28/2014,34.65
8/29/2014,34.92
9/2/2014,34.57
9/3/2014,34.57
9/4/2014,34.91
9/5/2014,35
9/8/2014,35.33
9/9/2014,34.91
9/10/2014,35.02
9/11/2014,35.02
9/12/2014,34.62
9/15/2014,34.54
9/16/2014,34.93
9/17/2014,34.98
9/18/2014,35.17
9/19/2014,34.82
9/22/2014,34.71
9/23/2014,34.42
9/24/2014,34.75
9/25/2014,34.14
9/26/2014,34.26
9/29/2014,34.9
9/30/2014,34.82
10/1/2014,33.99
10/2/2014,33.52
10/3/2014,34.03
10/6/2014,34.11
10/7/2014,33.47
10/8/2014,34.27
10/9/2014,33.62
10/10/2014,31.91
10/13/2014,31.47
10/14/2014,32.14
10/15/2014,31.28
10/16/2014,30.85
10/17/2014,31.38
10/20/2014,31.58
10/21/2014,32.61
10/22/2014,32.27
10/23/2014,32.69
10/24/2014,33.18
10/27/2014,33.2
10/28/2014,33.74
10/29/2014,33.92
10/30/2014,32.58
10/31/2014,34.01
11/3/2014,34.31
11/4/2014,34.54
11/5/2014,33.76
11/6/2014,33.82
11/7/2014,33.58
11/10/2014,33.26
11/11/2014,33.31
11/12/2014,33.38
11/13/2014,33.68
11/14/2014,33.95
11/17/2014,34.24
11/18/2014,34.71
11/19/2014,34.35
11/20/2014,35.95
11/21/2014,35.59
11/24/2014,36.25
11/25/2014,36.32
11/26/2014,36.9
11/28/2014,37.25
12/1/2014,37.17
12/2/2014,37.6
12/3/2014,37.43
12/4/2014,37.46
12/5/2014,37.67
12/8/2014,37.2
12/9/2014,36.89
12/10/2014,36.42
12/11/2014,36.7
12/12/2014,36.23
12/15/2014,35.92
12/16/2014,35.56
12/17/2014,36.24
12/18/2014,37.02
12/19/2014,36.37
12/22/2014,37.21
12/23/2014,37.43
12/24/2014,37.44
12/26/2014,37.55
12/29/2014,37.18
12/30/2014,36.76
12/31/2014,36.29
1/2/2015,36.36
1/5/2015,35.95
1/6/2015,35.28
1/7/2015,36.02
1/8/2015,36.69
1/9/2015,36.76
1/12/2015,36.6
1/13/2015,36.5
1/14/2015,36.35
1/15/2015,36.19
1/16/2015,36.45
1/20/2015,36.09
1/21/2015,36.48
1/22/2015,36.91
1/23/2015,36.45
1/26/2015,35.81
1/27/2015,34.19
1/28/2015,33.78
1/29/2015,34.21
1/30/2015,33.04
2/2/2015,33.65
2/3/2015,33.7
2/4/2015,33.6
2/5/2015,33.94
2/6/2015,33.3
2/9/2015,32.93
2/10/2015,33.7
2/11/2015,33.55
2/12/2015,34.13
2/13/2015,34.36
2/17/2015,34.74
2/18/2015,34.27
2/19/2015,34.21
2/20/2015,34.41
2/23/2015,33.76
2/24/2015,34.41
2/25/2015,33.95
2/26/2015,33.65
2/27/2015,33.25
3/2/2015,34.06
3/3/2015,34.1
3/4/2015,34.12
3/5/2015,33.73
3/6/2015,33.19
3/9/2015,32.72
3/10/2015,31.7
3/11/2015,32.33
3/12/2015,30.8
3/13/2015,30.93
3/16/2015,30.83
3/17/2015,30.59
3/18/2015,30.89
3/19/2015,30.74
3/20/2015,31.31
3/23/2015,31.2
3/24/2015,30.79
3/25/2015,29.89
3/26/2015,30.08
3/27/2015,32
3/30/2015,31.46
3/31/2015,31.27
4/1/2015,30.81
4/2/2015,30.81
4/6/2015,31.04
4/7/2015,31.26
4/8/2015,31.31
4/9/2015,31.24
4/10/2015,31.93
4/13/2015,31.73
4/14/2015,31.49
4/15/2015,32.83
4/16/2015,32.87
4/17/2015,32.47
4/20/2015,32.73
4/21/2015,32.43
4/22/2015,32.7
4/23/2015,32.35
4/24/2015,32.08
4/27/2015,32.5
4/28/2015,33.02
4/29/2015,32.89
4/30/2015,32.55
5/1/2015,33.42
5/4/2015,33.43
5/5/2015,32.64
5/6/2015,32.22
5/7/2015,32.24
5/8/2015,32.8
5/11/2015,32.69
5/12/2015,32.25
5/13/2015,32.64
5/14/2015,32.97
5/15/2015,32.99
5/18/2015,33.41
5/19/2015,33.15
5/20/2015,33.37
5/21/2015,33.55
5/22/2015,33.45
5/26/2015,33.1
5/27/2015,33.71
5/28/2015,34.01
5/29/2015,34.46
6/1/2015,33.91
6/2/2015,33.27
6/3/2015,32.73
6/4/2015,32.31
6/5/2015,31.84
6/8/2015,31.3
6/9/2015,31.25
6/10/2015,31.82
6/11/2015,31.85
6/12/2015,31.32
6/15/2015,31.39
6/16/2015,31.64
6/17/2015,31.95
6/18/2015,32.38
6/19/2015,32.07
6/22/2015,32.26
6/23/2015,32.09
6/24/2015,31.91
6/25/2015,31.99
6/26/2015,31.02
6/29/2015,30.39
6/30/2015,30.42
7/1/2015,30.18
7/2/2015,30.56
7/6/2015,30.04
7/7/2015,29.9
7/8/2015,29.5
7/9/2015,28.93
7/10/2015,29.17
7/13/2015,29.73
7/14/2015,29.65
7/15/2015,29.69
7/16/2015,29.9
7/17/2015,29.47
7/20/2015,29.1
7/21/2015,28.72
7/22/2015,28.61
7/23/2015,28.6
7/24/2015,28.06
7/27/2015,28.35
7/28/2015,28.96
7/29/2015,29.01
7/30/2015,28.91
7/31/2015,28.95
8/3/2015,29.05
8/4/2015,29.13
8/5/2015,29.12
8/6/2015,29.01
8/7/2015,28.88
8/10/2015,29.64
8/11/2015,28.97
8/12/2015,29.46
8/13/2015,28.87
8/14/2015,29.02
8/17/2015,29.08
8/18/2015,28.91
8/19/2015,28.36
8/20/2015,27.53
8/21/2015,26.56
8/24/2015,26.25
8/25/2015,25.87
8/26/2015,27.3
8/27/2015,27.72
8/28/2015,28.42
8/31/2015,28.54
9/1/2015,27.82
9/2/2015,28.6
9/3/2015,29.08
9/4/2015,28.52
9/8/2015,29.5
9/9/2015,29.24
9/10/2015,29.27
9/11/2015,29.47
9/14/2015,29.39
9/15/2015,29.73
9/16/2015,29.77
9/17/2015,29.71
9/18/2015,29.02
9/21/2015,29.16
9/22/2015,28.67
9/23/2015,28.74
9/24/2015,28.48
9/25/2015,28.81
9/28/2015,28.76
9/29/2015,29.24
9/30/2015,30.14
10/1/2015,30
10/2/2015,30.51
10/5/2015,31.21
10/6/2015,31.74
10/7/2015,32.32
10/8/2015,32.52
10/9/2015,32.14
10/12/2015,32.21
10/13/2015,32.04
10/14/2015,32.8
10/15/2015,32.75
10/16/2015,33.04
10/19/2015,33.59
10/20/2015,33.44
10/21/2015,33.37
10/22/2015,34.4
10/23/2015,34.9
10/26/2015,34.59
10/27/2015,34.47
10/28/2015,34.71
10/29/2015,34.03
10/30/2015,33.86
11/2/2015,34.11
11/3/2015,34.31
11/4/2015,34.15
11/5/2015,34
11/6/2015,33.84
11/9/2015,33.35
11/10/2015,33.21
11/11/2015,32.86
11/12/2015,32.4
11/13/2015,32.11
11/16/2015,32.1
11/17/2015,32.64
11/18/2015,33.16
11/19/2015,34.3
11/20/2015,34.66
11/23/2015,34.48
11/24/2015,34.36
11/25/2015,34.45
11/27/2015,34.46
11/30/2015,34.77
12/1/2015,35.09
12/2/2015,34.83
12/3/2015,34.04
12/4/2015,34.94
12/7/2015,34.99
